Datetime,Open,High,Low,Close,Adj Close,Volume
2024-09-27 09:30:00-04:00,573.25,573.2510986328125,573.25,573.2510986328125,573.2510986328125,1213656
2024-09-27 09:31:00-04:00,573.344970703125,573.344970703125,573.3300170898438,573.3319091796875,573.3319091796875,285583
2024-09-27 09:32:00-04:00,573.3300170898438,573.369873046875,573.1099853515625,573.1599731445312,573.1599731445312,117297
2024-09-27 09:33:00-04:00,573.2100219726562,573.4600219726562,573.2100219726562,573.4299926757812,573.4299926757812,176084
2024-09-27 09:34:00-04:00,573.3739013671875,573.3900146484375,573.3739013671875,573.3900146484375,573.3900146484375,121931
2024-09-27 09:35:00-04:00,573.3699951171875,573.4600219726562,573.130615234375,573.2100219726562,573.2100219726562,135714
2024-09-27 09:36:00-04:00,573.2100219726562,573.2899780273438,573.0599975585938,573.10498046875,573.10498046875,98366
2024-09-27 09:37:00-04:00,573.090087890625,573.27001953125,572.9600219726562,573.25,573.25,123577
2024-09-27 09:38:00-04:00,573.22998046875,573.3944091796875,573.1749877929688,573.3599853515625,573.3599853515625,106819
2024-09-27 09:39:00-04:00,573.344970703125,573.4000244140625,572.9299926757812,572.9727783203125,572.9727783203125,92138
2024-09-27 09:40:00-04:00,573.0800170898438,573.0800170898438,573.0800170898438,573.0800170898438,573.0800170898438,84532
2024-09-27 09:41:00-04:00,573.0700073242188,573.0700073242188,572.8499755859375,573.0599975585938,573.0599975585938,107783
2024-09-27 09:42:00-04:00,572.8599853515625,572.8599853515625,572.8599853515625,572.8599853515625,572.8599853515625,95027
2024-09-27 09:43:00-04:00,572.989990234375,572.989990234375,572.989990234375,572.989990234375,572.989990234375,143725
2024-09-27 09:44:00-04:00,572.969970703125,573.010009765625,572.8699951171875,572.9000244140625,572.9000244140625,76026
2024-09-27 09:45:00-04:00,572.9099731445312,573.0599975585938,572.8900146484375,572.9299926757812,572.9299926757812,66728
2024-09-27 09:46:00-04:00,572.969970703125,573.1099853515625,572.9299926757812,572.97998046875,572.97998046875,67525
2024-09-27 09:47:00-04:00,572.9691162109375,572.9691162109375,572.9691162109375,572.9691162109375,572.9691162109375,68978
2024-09-27 09:48:00-04:00,572.969970703125,573.1300048828125,572.8400268554688,572.9417724609375,572.9417724609375,91385
2024-09-27 09:49:00-04:00,573.0,573.0,573.0,573.0,573.0,53269
2024-09-27 09:50:00-04:00,573.0,573.0,572.7100219726562,572.97998046875,572.97998046875,97939
2024-09-27 09:51:00-04:00,572.9600219726562,572.97998046875,572.8599853515625,572.9299926757812,572.9299926757812,65758
2024-09-27 09:52:00-04:00,572.9099731445312,572.9249877929688,572.9099731445312,572.9249877929688,572.9249877929688,80108
2024-09-27 09:53:00-04:00,572.9099731445312,573.0499877929688,572.9099731445312,572.97998046875,572.97998046875,58823
2024-09-27 09:54:00-04:00,573.0,573.030029296875,572.8400268554688,572.89501953125,572.89501953125,54451
2024-09-27 09:55:00-04:00,572.8906860351562,572.9099731445312,572.8099975585938,572.8900146484375,572.8900146484375,38862
2024-09-27 09:56:00-04:00,572.8599853515625,572.8599853515625,572.8099975585938,572.8300170898438,572.8300170898438,24849
2024-09-27 09:57:00-04:00,572.8300170898438,572.9500122070312,572.760009765625,572.8800048828125,572.8800048828125,60197
2024-09-27 09:58:00-04:00,572.8900146484375,572.9099731445312,572.7999877929688,572.9000244140625,572.9000244140625,44685
2024-09-27 09:59:00-04:00,572.8900146484375,573.0900268554688,572.8900146484375,573.0,573.0,36612
2024-09-27 10:00:00-04:00,573.3300170898438,573.3300170898438,573.3300170898438,573.3300170898438,573.3300170898438,197273
2024-09-27 10:01:00-04:00,573.3300170898438,573.3400268554688,573.3300170898438,573.3400268554688,573.3400268554688,98666
2024-09-27 10:02:00-04:00,573.330078125,573.3699951171875,573.0001220703125,573.1900024414062,573.1900024414062,87037
2024-09-27 10:03:00-04:00,573.5,573.5999755859375,573.5,573.5999755859375,573.5999755859375,72797
